position,00 dias,10 dias,20 dias,30 dias,40 dias,50 dias,60 dias,70 dias,80 dias,90 dias,100 dias,110 dias,120 dias
700.0,86.0,86.91888931848013,87.99161772460053,88.69302021705766,89.50532720621261,105.56639628055844,139.3417845239448,176.23749123193264,216.1264275472969,259.1239403528921,305.33726925247146,354.90525296189924,407.9310611191254
710.0,86.0,86.81040596504646,87.8411810757963,88.54244417316762,89.35477269483664,105.42336764315016,139.2085479548181,176.1038635342626,215.9920475589557,258.9887925065993,305.2013129618132,354.7684741659561,407.7934252034311
720.0,86.0,86.71411846134731,87.69786658550589,88.39900796486842,89.2114486573866,105.2882816549635,139.0835322614023,175.97850368151907,215.865983206167,258.86200859791126,305.0737704231823,354.6401605318527,407.6643070834549
730.0,86.0,86.62875799036638,87.56108292634467,88.26209195831393,89.0747437582109,105.16054556475882,138.9661179566888,175.86078850347693,215.74760684619895,258.74295734674376,304.95400663353325,354.5196731666409,407.5430639158465
740.0,86.0,86.55317512926035,87.43202108924856,88.1311569365261,88.94412753061032,105.03964865239112,138.85576693218584,175.75017617029815,215.6363740321738,258.63109040495146,304.8414700135066,354.4064571114159,407.4291373111818
750.0,86.0,86.48632905488802,87.31175249798378,88.00573139124693,88.81913829919904,104.92515001391558,138.7520100729156,175.646193897493,215.53180940365718,258.52592957017197,304.7356795056791,354.30002832458996,407.32204020389526
760.0,86.0,86.42727837391733,87.20140356310336,87.88539652350522,88.69937022853308,104.81666576760414,138.6544346359124,175.5484256784584,215.43349455925198,258.4270541346851,304.63621196531886,354.1999611025597,407.2213442925734
770.0,86.0,86.37517302437185,87.09996696551825,87.77036887868061,88.5844698384215,104.7138650608053,138.5626797236908,175.45650745409273,215.34106318608798,258.3340956297513,304.5426966625797,354.1058823553435,407.1266741042684
780.0,86.0,86.32924691452436,87.00681708290563,87.66089739990413,88.47412262870823,104.61645734588083,138.47642420324476,175.37011530875415,215.25418948779455,258.2467264583549,304.45480409523765,354.017460577167,407.0376961028202
790.0,86.0,86.28881110374336,86.92137291708003,87.55721007116047,88.36805133997119,104.52419007881426,138.3953838748553,175.2889624036746,215.17258490762634,258.16465642516255,304.3722423402386,353.9344020317524,406.95411471953054
