position,0 años,1 años,2 años,3 años,4 años,5 años,6 años,7 años,8 años,9 años,10 años,11 años,12 años,13 años,14 años,15 años,16 años,17 años,18 años,19 años,20 años,21 años,22 años,23 años,24 años,25 años,26 años,27 años,28 años,29 años,30 años
590.0,86.0,98.34586320800726,98.52673141168029,98.71377964683953,98.9115529588548,99.12328591797367,99.35079628125015,99.59481088438595,99.85449320057711,100.12750609322312,100.4108010223158,100.70094976565777,101.6313892228168,108.14551831816563,120.02205773512482,132.24600037878682,144.84231810189593,157.7850784516584,171.1181860730934,184.82045469175418,198.89837928214538,213.36513144229082,228.23563523638052,243.5031473851375,259.1754773143602,275.25931711685644,291.7612117663391,308.6864952047802,326.04205352075786,343.8443055977917,362.0841236945782
600.0,86.0,98.10161928860421,98.27635900933336,98.45367264133243,98.63652739614776,98.82726116113946,99.02741826601147,99.23828756518108,99.46064349961377,99.69439272031133,99.93913505694911,100.19324431323537,101.08972006609028,107.57505547314118,119.4307665380365,131.63591659388103,144.21688706679373,157.14761026267638,170.47135974412603,184.16626789689906,198.2383214160371,212.70035878664714,227.56707012085752,242.8314894594578,258.5012486040698,274.58293063946854,291.0830176604293,308.006770388127,325.36096224565387,343.1619675316902,361.40068964902156
610.0,86.0,97.8885667309049,98.05890411181393,98.23051135648856,98.40513838905662,98.5844826280998,98.76956567768384,98.96147928736933,99.16112152526657,99.3690310165238,99.5855737180731,99.81060525050869,100.67637794826832,107.13318253465278,118.9649817205348,131.1477549981151,143.708969606852,156.62296113068115,169.93235301605708,183.61508946876899,197.67699766307933,212.13068414131845,226.9905814436771,242.2494127101973,257.91455226550335,273.99235396845245,290.4891862885398,307.4102009412963,324.7620793387304,342.56108652157286,360.79806867495415
620.0,86.0,97.7010543818855,97.86781918565507,98.0355136397367,98.20517779088583,98.37792646194842,98.55440692705376,98.7354956988829,98.92184480818145,99.11401473912045,99.31254118410469,99.51769240092383,100.36057109927917,106.79424144945735,118.60515718345044,130.76644323302276,143.30740114470356,156.20251873653456,169.49497827493155,183.1625307405796,197.21113969767396,211.65335856770005,226.50310233450108,241.75307728413074,257.4106081857475,273.48190440475037,289.97324902556414,306.88960821484585,324.23749877900474,342.03306775293953,360.2670743819701
630.0,86.0,97.53482095287573,97.69851725922756,97.86316940453473,98.02942885472154,98.19803984767017,98.36933826272738,98.54395312382131,98.72240729759825,98.90515226584539,99.09265108984091,99.28516436116246,100.11265909587283,106.53005717015624,118.32555691613511,130.46986357877745,142.99361301896786,155.87179919125634,169.14776552755833,182.79986184900795,196.8338366333912,211.2627132227246,226.10017299902586,241.33910810462632,256.98681602313883,273.04944257749526,289.53313072813114,306.4425720392346,323.784309650669,341.5744503700761,359.8036991351419
640.0,86.0,97.38655796416437,97.54756663708352,97.70965391219097,97.87329363270713,98.03900752623686,98.20692102093216,98.37745424879766,98.55102418381529,98.72797073201613,98.90867794679575,99.09335911420102,99.91076780863999,106.31734718164753,118.10261764285367,130.2349934764978,142.74606457654588,155.61110642092325,168.87367760348732,182.51228314861993,196.5331258069706,210.94901193817026,225.77429079027783,241.00150621647995,256.6383016586378,272.69083978736904,289.16509943438115,306.0659682962263,323.39993897052335,341.1830714312744,359.4060509531394
650.0,86.0,97.25364390726253,97.41228309656199,97.57212718834064,97.73357842772192,97.8970460978789,98.0625189009491,98.23030047675627,98.4006502739605,98.57387243359507,98.75025514590534,98.92997679208207,99.74069066688223,106.14014206792578,117.91894539639387,130.04337668876585,142.5457736441854,155.4015255870025,168.65425140793775,182.28264036351285,196.2930104454764,210.69830278403109,225.5128854116505,240.72964521422088,256.3561839096619,272.3986739346043,288.86350632613676,305.75526222601303,323.0806777166909,340.8558299516815,359.07137494036107
660.0,86.0,97.13396810924925,97.290511033701,97.44836635658066,97.60790725376003,97.76949578324378,97.93304617000706,98.09877571921147,98.26687871443741,98.43755107664887,98.61105582014343,98.7874974533264,99.59356528414823,105.98818513892296,117.76295902864324,129.88215067947453,142.37873354099037,155.2281819339168,168.4741332835898,182.09532011165632,196.09809401599153,210.4954460397222,225.30180481354515,240.51020528742504,256.1282235461899,272.16225610681556,288.6185275152253,305.50204840387073,322.81931371781565,340.5865126217236,358.79449145614893
670.0,86.0,97.02580736142419,97.18049002541785,97.33657278060338,97.49441512294705,97.6543607796657,97.81629038069839,97.98037195073155,98.14674887621929,98.31556810297846,98.48703824357487,98.66121312569435,99.46389383746013,105.85506509364764,117.62729069725755,129.74297331514407,142.23565614880877,155.08084152079786,168.32218964870964,181.9384390729187,195.93592164580573,210.32764655431495,225.12808665450632,240.33030943023502,255.94189079683346,271.9693242305514,288.41883743459044,305.29553184151354,322.6058967568762,340.36630775801893,358.5673845363797
680.0,86.0,96.92773761195394,97.08076426617137,97.23526241147394,97.39158359456934,97.55006403655615,97.710570529542,97.87324711749875,98.03820859648735,98.2055657055226,98.37549259002773,98.54802447076965,99.34806757499649,105.73666191731789,117.50726210308295,129.62049668181686,142.1104766602921,154.95275506835458,168.19091767127424,181.8037623105048,195.79760350191975,210.18541278736225,224.98170155491968,240.17954183373726,255.78648525447278,271.80909275508407,288.2535723614468,305.12507110385513,322.430101006557,340.1850526002896,358.3805978292201
